House,Taxes,Bedrooms,Baths,Price,Size,Lot
1,1360,3,2,145000,1240,18000
2,1050,1,1,68000,370,25000
3,1010,3,1.5,115000,1130,25000
4,830,3,2,69000,1120,17000
5,2150,3,2,163000,1710,14000
6,1230,3,2,69900,1010,8000
7,150,2,2,50000,860,15300
8,1470,3,2,137000,1420,18000
9,1850,3,2,121300,1270,16000
10,320,3,2,70000,1160,8000
11,630,3,2,64500,1220,12000
12,1780,3,2,167000,1690,30000
13,1630,3,2,114600,1380,15500
14,1530,3,2,103000,1590,16800
15,930,3,1,101000,1050,16000
16,590,2,1,50000,770,22100
17,1050,3,2,85000,1410,12000
18,20,3,1,22500,1060,3500
19,870,2,2,90000,1300,17500
20,1320,3,2,133000,1500,30000
21,1350,2,1,90500,820,25700
22,2790,3,2.5,260000,2130,25000
23,680,2,1,142500,1170,22000
24,1840,3,2,160000,1500,19000
25,3680,4,2,240000,2790,20000
26,1660,3,1,87000,1030,17500
27,1620,3,2,118600,1250,20000
28,3100,3,2,140000,1760,38000
29,2070,2,3,148000,1550,14000
30,650,3,1.5,65000,1450,12000
31,2260,4,2,176000,2000,18000
32,1760,3,1,86500,1350,14000
33,2750,3,2,180000,1840,28000
34,2020,4,2,179000,2510,25000
35,4900,3,3,338000,3110,38000
36,1180,4,2,130000,1760,30000
37,590,3,1.5,77300,1120,14500
38,1600,2,1,125000,1110,10000
39,1970,3,2,100000,1360,25000
40,2060,3,1,100000,1250,25000
41,1980,3,1,100000,1250,25000
42,1510,3,2,146500,1480,18000
43,1710,3,2,144900,1520,20100
44,1590,3,2,183000,2020,26000
45,1580,3,1.5,77000,1220,12000
46,1510,2,2,60000,1640,17500
47,1450,2,2,127000,940,22000
48,970,3,2,86000,1580,12000
49,1250,3,2.5,95000,1270,12000
50,4020,4,2.5,270500,2440,41000
51,700,4,1.5,75000,1520,12000
52,820,2,1,81000,980,13000
53,2050,4,2,188000,2300,21600
54,710,3,2,85000,1430,12500
55,1280,3,2,137000,1380,18000
56,1800,3,1.5,92900,1010,18000
57,20,3,1.5,93000,1780,4000
58,800,3,2,109300,1120,15500
59,1220,3,2,131500,1900,25000
60,3360,4,3,200000,2430,30000
61,210,3,2,81900,1080,8000
62,380,2,1,91200,1350,13000
63,1920,4,3,124500,1720,12000
64,4350,3,3,225000,4050,35000
65,1510,3,2,136500,1500,18000
66,4290,4,2.5,268000,2530,36000
67,1160,3,1.5,70700,1020,9000
68,970,4,2.5,70000,2070,10800
69,1400,3,2,140000,1520,18500
70,790,2,2,89900,1280,6000
71,1210,3,2,137000,1620,18000
72,1550,3,2,103000,1520,12000
73,2800,3,2,183000,2030,23000
74,2560,3,2,140000,1390,20100
75,1390,4,2,160000,1880,22000
76,2820,4,2.5,192000,2780,30000
77,2850,2,1,130000,1340,27000
78,2230,2,2,123000,940,22000
79,20,2,1,21000,580,9000
80,1510,4,2,85000,1410,12000
81,710,3,2,69900,1150,4500
82,1540,3,2,125000,1380,18000
83,1780,3,2,162600,1470,20100
84,2920,2,2,156900,1590,22000
85,1710,3,2,105900,1200,15500
86,1880,3,2,167500,1920,22000
87,1680,3,2,151800,2150,29000
88,3690,5,3,118300,2200,30000
89,900,2,2,94300,860,15500
90,560,3,1,93900,1230,12000
91,2040,4,2,165000,1140,18200
92,4390,4,3,285000,2650,36000
93,690,3,1,45000,1060,8000
94,2100,3,2,124900,1770,16000
95,2880,4,2,147000,1860,35000
96,990,2,2,176000,1060,27500
97,3030,3,2,196500,1730,47400
98,1580,3,2,132200,1370,18000
99,1770,3,2,88400,1560,12000
100,1430,3,2,127200,1340,18000
